bookstore,title,link,found_title,author,date,price,rating,num_ratings,num_pages,tokens
1,"Scientist, Soldier, Statesman, Spy: Count Rumsford",http://www.amazon.com/Scientist-Soldier-Statesman-Spy-Extraordinary/dp/0750921846/ref=sr_1_fkmr0_2?s=books&ie=UTF8&qid=1412766846&sr=1-2-fkmr0&keywords=Scientist%2C+Soldier%2C+Statesman%2C+Spy%3A+Count+Rumsford,"Scientist, Soldier, Statesman, Spy: Count Rumford: The Extraordinary Life of a Scientific Genius",G. I. Brown,2000,,5,3,,"[scientist, soldier, statesman, spy, count, rumford, extraordinary, life, scientific, genius]"
1,Fragile Science: The Reality Behind the Headlines,http://www.amazon.com/Fragile-Science-Reality-Behind-Headlines/dp/0330480936/ref=sr_1_1?s=books&ie=UTF8&qid=1412766875&sr=1-1&keywords=Fragile+Science%3A+The+Reality+Behind+the+Headlines,Fragile Science: The Reality Behind the Headlines,Robin Baker,2002,,See,NotFound,,"[fragile, science, reality, behind, headlines]"
1,How Things Are: A Science Tool-Kit for the Mind,http://www.amazon.com/How-Things-Are-Science-Tool-Kit/dp/0688149510/ref=sr_1_1?ie=UTF8&qid=1412757731&sr=8-1&keywords=How+Things+Are%3A+A+Science+Tool-Kit+for+the+Mind,How Things Are: A Science Tool-Kit for the Mind,John & Katinka Brockman,1996,,3.8,NotFound,,"[things, science, tool-kit, mind]"
1,Masters of Time: Cosmology at the End of Innocence,http://www.amazon.com/Masters-Of-Time-Cosmology-Innocence/dp/0201622378/ref=sr_1_1?ie=UTF8&qid=1412757743&sr=8-1&keywords=Masters+of+Time%3A+Cosmology+at+the+End+of+Innocence,Masters Of Time: Cosmology At The End Of Innocence,John Boslough,1993,,See,1,,"[masters, time, cosmology, end, innocence]"
1,Mars Observer's Guide,http://www.amazon.com/Mars-Observers-Guide-Neil-Bone/dp/1552978028/ref=sr_1_1?ie=UTF8&qid=1412757754&sr=8-1&keywords=Mars+Observer%27s+Guide,Mars Observer's Guide,Richard McKim(Foreword),2003,,See,NotFound,,"[mars, observer, guide]"
1,The Ever-Changing Sea,http://www.amazon.com/Ever-Changing-Sea-david-ericson/dp/1125322535/ref=sr_1_3?s=books&ie=UTF8&qid=1412766907&sr=1-3&keywords=The+Ever-Changing+Sea,The Ever-Changing Sea,david ericson,1967,,,NotFound,,"[ever-changing, sea]"
1,The Female Brain,http://www.amazon.com/The-Female-Brain-Louann-Brizendine/dp/0767920104/ref=sr_1_1?ie=UTF8&qid=1412757780&sr=8-1&keywords=The+Female+Brain,The Female Brain,Louann Brizendine,2007,,4.4,NotFound,,"[female, brain]"
1,Red Moon Rising: Sputnik and the Hidden Rivals that Ignited the Space Age,http://www.amazon.com/Red-Moon-Rising-Sputnik-Ignited/dp/159887523X/ref=sr_1_1?ie=UTF8&qid=1412757793&sr=8-1&keywords=Red+Moon+Rising%3A+Sputnik+and+the+Hidden+Rivals+that+Ignited+the+Space+Age,Red Moon Rising: Sputnik and the Hidden Rivals That Ignited the Space Age,Charles Stransky(Narrator),2007,,4.8,40,,"[red, moon, rising, sputnik, hidden, rivals, ignited, space, age]"
1,"Faint Echoes, Distant Stars: The Science and Politics of Finding Life Beyond Earth",http://www.amazon.com/Faint-Echoes-Distant-Stars-Politics/dp/038097519X/ref=sr_1_1?ie=UTF8&qid=1412757805&sr=8-1&keywords=Faint+Echoes%2C+Distant+Stars%3A+The+Science+and+Politics+of+Finding+Life+Beyond+Earth,"Faint Echoes, Distant Stars: The Science and Politics of Finding Life Beyond Earth",Ben Bova,2004,,See,7,,"[faint, echoes, distant, stars, science, politics, finding, life, beyond, earth]"
1,Turing's Man: Western Culture in the Computer Age,http://www.amazon.com/Turings-Man-Western-Culture-Computer/dp/0807841080/ref=sr_1_1?ie=UTF8&qid=1412757818&sr=8-1&keywords=Turing%27s+Man%3A+Western+Culture+in+the+Computer+Age,Turing's Man: Western Culture in the Computer Age,J. David Bolter,1984,,4.1,1,,"[turing, man, western, culture, computer, age]"
1,Rhythms of Vision: The Changing Patterns of Belief,http://www.amazon.com/Rhythms-Vision-Changing-Patterns-Belief/dp/0805236104/ref=sr_1_1?ie=UTF8&qid=1412757829&sr=8-1&keywords=Rhythms+of+Vision%3A+The+Changing+Patterns+of+Belief,Rhythms of Vision: The Changing Patterns of Belief,Lyall Watson(Foreword),1976,,5,NotFound,,"[rhythms, vision, changing, patterns, belief]"
1,The History of the Calculus And Its Conceptual Development,http://www.amazon.com/History-Calculus-Conceptual-Development-Mathematics/dp/0486605094/ref=sr_1_1?ie=UTF8&qid=1412757847&sr=8-1&keywords=The+History+of+the+Calculus+And+Its+Conceptual+Development,The History of the Calculus and Its Conceptual Development (Dover Books on Mathematics),Carl B. Boyer,1959,,4.7,34,,"[history, calculus, conceptual, development, dover, books, mathematics]"
1,The Enigma of Sunspots: A Story of Discovery and Scientific Revolution,http://www.amazon.com/The-Enigma-Sunspots-Scientific-Revolution/dp/0863153704/ref=sr_1_1?ie=UTF8&qid=1412757861&sr=8-1&keywords=The+Enigma+of+Sunspots%3A+A+Story+of+Discovery+and+Scientific+Revolution,The Enigma of Sunspots: A Story of Discovery and Scientific Revolution,Judit Brody,2003,,4.7,NotFound,,"[enigma, sunspots, story, discovery, scientific, revolution]"
1,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,http://www.amazon.com/The-Tao-Physics-Exploration-Parallels/dp/1590308352/ref=sr_1_1?ie=UTF8&qid=1412757872&sr=8-1&keywords=The+Tao+of+Physics%3A+An+Exploration+of+the+Parallels+between+Modern+Physics+and+Eastern+Mysticism,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,Fritjof Capra,2010,,4.3,NotFound,,"[tao, physics, exploration, parallels, modern, physics, eastern, mysticism]"
1,From Eternity to Here,http://www.amazon.com/From-Eternity-Here-Ultimate-Theory/dp/0452296544/ref=sr_1_1?ie=UTF8&qid=1412757884&sr=8-1&keywords=From+Eternity+to+Here,From Eternity to Here: The Quest for the Ultimate Theory of Time,Sean Carroll,2010,,4.2,198,,"[eternity, quest, ultimate, theory, time]"
1,The Never-Ending Days of Being Dead,http://www.amazon.com/The-Never-Ending-Days-Being-Dead/dp/057122055X/ref=sr_1_1?ie=UTF8&qid=1412758640&sr=8-1&keywords=The+Never-Ending+Days+of+Being+Dead,The Never-Ending Days of Being Dead: Dispatches from the Front Line of Science,Marcus Chown,2007,,4,5,,"[never-ending, days, dead, dispatches, front, line, science]"
1,Afterglow of Creation: Decoding the message from the beginning of time,http://www.amazon.com/Afterglow-Creation-Decoding-message-beginning/dp/B00C7GGL9Y/ref=sr_1_1?s=books&ie=UTF8&qid=1412766966&sr=1-1&keywords=Afterglow+of+Creation%3A+Decoding+the+message+from+the+beginning+of+time,Afterglow of Creation: Decoding the message from the beginning of time,,2012,,,NotFound,,"[afterglow, creation, decoding, message, beginning, time]"
1,Winston Churchill's Afternoon Nap,http://www.amazon.com/Winston-Churchills-Afternoon-Jeremy-Campbell/dp/0671657178/ref=sr_1_1?ie=UTF8&qid=1412758669&sr=8-1&keywords=Winston+Churchill%27s+Afternoon+Nap,Winston Churchill's Afternoon Nap,Jeremy Campbell,1988,,See,1,,"[winston, churchill, afternoon, nap]"
1,Afterglow of Creation: Decoding the message from the beginning of time,http://www.amazon.com/Afterglow-Creation-Decoding-message-beginning/dp/B00C7GGL9Y/ref=sr_1_1?s=books&ie=UTF8&qid=1412766966&sr=1-1&keywords=Afterglow+of+Creation%3A+Decoding+the+message+from+the+beginning+of+time,Afterglow of Creation: Decoding the message from the beginning of time,,2010,,,NotFound,,"[afterglow, creation, decoding, message, beginning, time]"
1,Architect or Bee?,http://www.amazon.com/Architect-Bee-Human-Technology-Relationship/dp/0896081311/ref=sr_1_2?s=books&ie=UTF8&qid=1412767029&sr=1-2&keywords=Architect+or+Bee%3F,Architect or Bee?: The Human / Technology Relationship,David Noble(Introduction),1999,,See,NotFound,,"[architect, bee, human, technology, relationship]"
1,Uncommon Wisdom,http://www.amazon.com/Uncommon-Wisdom-Fritjof-Capra/dp/0553346105/ref=sr_1_1?ie=UTF8&qid=1412758715&sr=8-1&keywords=Uncommon+Wisdom,Uncommon Wisdom,Fritjof Capra,1989,,4,NotFound,,"[uncommon, wisdom]"
1,The Web of Life,http://www.amazon.com/The-Web-Life-Scientific-Understanding/dp/0385476760/ref=sr_1_1?ie=UTF8&qid=1412758733&sr=8-1&keywords=The+Web+of+Life,The Web of Life: A New Scientific Understanding of Living Systems,Fritjof Capra,1997,,4.6,85,,"[web, life, new, scientific, understanding, living, systems]"
1,"The Hidden Connections: Integrating the Biological, Cognitive, and Social Dimensions of Life Into a Science of Sustainability",http://www.amazon.com/The-Hidden-Connections-Integrating-Substainability/dp/0385494718/ref=sr_1_1?ie=UTF8&qid=1412758746&sr=8-1&keywords=The+Hidden+Connections%3A+Integrating+the+Biological%2C+Cognitive%2C+and+Social+Dimensions+of+Life+Into+a+Science+of+Sustainability,"The Hidden Connections: Integrating the Biological, Cognitive, and Social Dimensions of Life Into a Science of Substainability",Fritjof Capra,2002,,4,16,,"[hidden, connections, integrating, biological, cognitive, social, dimensions, life, science, substainability]"
1,The Secret Life of Lobsters,http://www.amazon.com/The-Secret-Life-Lobsters-Scientists/dp/0060555599/ref=sr_1_1?ie=UTF8&qid=1412758763&sr=8-1&keywords=The+Secret+Life+of+Lobsters,The Secret Life of Lobsters: How Fishermen and Scientists Are Unraveling the Mysteries of Our Favorite Crustacean (P.S.),Trevor Corson,2005,,4.4,NotFound,,"[secret, life, lobsters, fishermen, scientists, unraveling, mysteries, favorite, crustacean, p.s]"
1,A Brief History of Infinity,http://www.amazon.com/Brief-History-Infinity-Quest-Unthinkable-ebook/dp/B00AN2KHK8/ref=sr_1_1?s=books&ie=UTF8&qid=1412767069&sr=1-1&keywords=A+Brief+History+of+Infinity,A Brief History of Infinity: The Quest to Think the Unthinkable,,2013,,1,NotFound,,"[brief, history, infinity, quest, think, unthinkable]"
1,Before the Big Bang,http://www.amazon.com/Before-Big-Bang-Prehistory-Universe/dp/0312680287/ref=sr_1_1?ie=UTF8&qid=1412758798&sr=8-1&keywords=Before+the+Big+Bang,Before the Big Bang: The Prehistory of the Universe,Brian Clegg,2011,,4.4,NotFound,,"[big, bang, prehistory, universe]"
1,The God Effect,http://www.amazon.com/The-God-Effect-Entanglement-Phenomenon/dp/031255530X/ref=sr_1_1?ie=UTF8&qid=1412758813&sr=8-1&keywords=The+God+Effect,"The God Effect: Quantum Entanglement, Science's Strangest Phenomenon",Brian Clegg,2009,,4.4,NotFound,,"[god, effect, quantum, entanglement, science, strangest, phenomenon]"
1,Armageddon Science,http://www.amazon.com/Armageddon-Science-The-Mass-Destruction/dp/0312598947/ref=sr_1_1?ie=UTF8&qid=1412758830&sr=8-1&keywords=Armageddon+Science,Armageddon Science: The Science of Mass Destruction,Brian Clegg,2010,,4.7,NotFound,,"[armageddon, science, science, mass, destruction]"
1,Mysterium,http://www.amazon.com/Mysterium-Robert-Charles-Wilson/dp/0765327414/ref=sr_1_1?ie=UTF8&qid=1412758841&sr=8-1&keywords=Mysterium,Mysterium,Robert Charles Wilson,2010,,4.1,60,,[mysterium]
1,The Seashell on the Mountaintop,http://www.amazon.com/The-Seashell-Mountaintop-Alan-Cutler/dp/0452285461/ref=sr_1_1?ie=UTF8&qid=1412758854&sr=8-1&keywords=The+Seashell+on+the+Mountaintop,The Seashell on the Mountaintop,Alan Cutler,2004,,5,35,,"[seashell, mountaintop]"
1,When a Gene Makes You Smell Like a Fish,http://www.amazon.com/When-Gene-Makes-Smell-Like/dp/0195327063/ref=sr_1_1?ie=UTF8&qid=1412758870&sr=8-1&keywords=When+a+Gene+Makes+You+Smell+Like+a+Fish,When a Gene Makes You Smell Like a Fish: ...and Other Amazing Tales about the Genes in Your Body,Judith A. Seachrist(Illustrator),2007,,4.5,NotFound,,"[gene, makes, smell, like, fish, ..., amazing, tales, genes, body]"
1,The Secret History of the War on Cancer,http://www.amazon.com/The-Secret-History-War-Cancer/dp/0465015689/ref=sr_1_1?ie=UTF8&qid=1412758888&sr=8-1&keywords=The+Secret+History+of+the+War+on+Cancer,The Secret History of the War on Cancer,Devra Davis,2009,,4,78,,"[secret, history, war, cancer]"
1,the pyrotechnic insanitarium: american culture on the brink,http://www.amazon.com/The-Pyrotechnic-Insanitarium-American-Culture/dp/0802136702/ref=sr_1_1?ie=UTF8&qid=1412758903&sr=8-1&keywords=the+pyrotechnic+insanitarium%3A+american+culture+on+the+brink,The Pyrotechnic Insanitarium: American Culture on the Brink,Mark Dery,1999,,5,NotFound,,"[pyrotechnic, insanitarium, american, culture, brink]"
1,The Matter Myth,http://www.amazon.com/The-Matter-Myth-Discoveries-Understanding/dp/0743290917/ref=sr_1_1?ie=UTF8&qid=1412758919&sr=8-1&keywords=The+Matter+Myth,The Matter Myth: Dramatic Discoveries that Challenge Our Understanding of Physical Reality,John Gribbin,2007,,3.8,NotFound,,"[matter, myth, dramatic, discoveries, challenge, understanding, physical, reality]"
1,Our Cosmic Origins,http://www.amazon.com/Our-Cosmic-Origins-Emergence-Intelligence/dp/0521794803/ref=sr_1_1?ie=UTF8&qid=1412758934&sr=8-1&keywords=Our+Cosmic+Origins,Our Cosmic Origins: From the Big Bang to the Emergence of Life and Intelligence,Christian de Duve(Foreword),2001,,4.1,NotFound,,"[cosmic, origins, big, bang, emergence, life, intelligence]"
1,The Cosmic Blueprint,http://www.amazon.com/Cosmic-Blueprint-Paul-Davies/dp/0671602330/ref=sr_1_1?ie=UTF8&qid=1412758949&sr=8-1&keywords=The+Cosmic+Blueprint,Cosmic Blueprint,Paul Davies,1988,,3.8,NotFound,,"[cosmic, blueprint]"
1,Are We Alone?,http://www.amazon.com/Are-Alone-Philosophical-Implications-Extraterrestrial/dp/0465004199/ref=sr_1_1?ie=UTF8&qid=1412758961&sr=8-1&keywords=Are+We+Alone%3F,Are We Alone?: Philosophical Implications Of The Discovery Of Extraterrestrial Life,Paul Davies,1996,,4.4,NotFound,,"[alone, philosophical, implications, discovery, extraterrestrial, life]"
1,God and the New Physics,http://www.amazon.com/God-New-Physics-Paul-Davies/dp/0671528068/ref=sr_1_1?ie=UTF8&qid=1412758981&sr=8-1&keywords=God+and+the+New+Physics,God and the New Physics,Paul Davies,1984,,4.2,41,,"[god, new, physics]"
1,Fermat's Last Theorem,http://www.amazon.com/Fermats-Enigma-Greatest-Mathematical-Problem/dp/0385493622/ref=sr_1_1?ie=UTF8&qid=1412758993&sr=8-1&keywords=Fermat%27s+Last+Theorem,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,John Lynch(Foreword),1998,,4.8,NotFound,,"[fermat, enigma, epic, quest, solve, world, greatest, mathematical, problem]"
1,Audobon's Elephant,http://www.amazon.com/Audubons-Elephant-Duff-Hart-Davis/dp/B005Q7GPDS,Audubon's Elephant,Duff Hart-Davis,2004,,See,4,,"[audubon, elephant]"
1,The Symbolic Species: The Co-Evolution of Language and the Brain,http://www.amazon.com/The-Symbolic-Species-Co-evolution-Language/dp/0393317544/ref=sr_1_1?ie=UTF8&qid=1412759020&sr=8-1&keywords=The+Symbolic+Species%3A+The+Co-Evolution+of+Language+and+the+Brain,The Symbolic Species: The Co-evolution of Language and the Brain,Terrence W. Deacon,1998,,4.2,51,,"[symbolic, species, co-evolution, language, brain]"
1,Unknown Quantity: A Real and Imagined History of Algebra,http://www.amazon.com/Unknown-quantity-imagined-history-Algebra/dp/1843545691/ref=sr_1_1?ie=UTF8&qid=1412759038&sr=8-1&keywords=Unknown+Quantity%3A+A+Real+and+Imagined+History+of+Algebra,Unknown quantity : a real and imagined history of Algebra,John Derbyshire,2007,,4.5,59,,"[unknown, quantity, real, imagined, history, algebra]"
1,The Third Chimpanzee: The Evolution And Future of the Human Animal,http://www.amazon.com/The-Third-Chimpanzee-Evolution-Future/dp/0060845503/ref=sr_1_1?ie=UTF8&qid=1412759051&sr=8-1&keywords=The+Third+Chimpanzee%3A+The+Evolution+And+Future+of+the+Human+Animal,The Third Chimpanzee: The Evolution and Future of the Human Animal (P.S.),Jared M. Diamond,2006,,3.8,247,,"[third, chimpanzee, evolution, future, human, animal, p.s]"
1,The Georgian Star,http://www.amazon.com/The-Georgian-Star-Revolutionized-Understanding/dp/B0058M6G94/ref=sr_1_1?ie=UTF8&qid=1412759063&sr=8-1&keywords=The+Georgian+Star,The Georgian Star: How William and Caroline Herschel Revolutionized Our Understanding of the Cosmos (Great Discoveries),Michael Lemonick,2008,,See,13,,"[georgian, star, william, caroline, herschel, revolutionized, understanding, cosmos, great, discoveries]"
1,The Expression of the Emotions in Man and Animal,http://www.amazon.com/The-Expression-Emotions-Man-Animals/dp/1470188880/ref=sr_1_1?ie=UTF8&qid=1412759079&sr=8-1&keywords=The+Expression+of+the+Emotions+in+Man+and+Animal,The Expression of the Emotions in Man and Animals,Charles Darwin,2012,,4.2,63,,"[expression, emotions, man, animals]"
1,Finding Darwin's God,http://www.amazon.com/Finding-Darwins-God-Scientists-Evolution/dp/0061233501/ref=sr_1_1?ie=UTF8&qid=1412759092&sr=8-1&keywords=Finding+Darwin%27s+God,Finding Darwin's God: A Scientist's Search for Common Ground Between God and Evolution (P.S.),Kenneth R. Miller,2007,,4,186,,"[finding, darwin, god, scientist, search, common, ground, god, evolution, p.s]"
1,Alas Poor Darwin,http://www.amazon.com/Alas-Poor-Darwin-Evolutionary-Psychology/dp/0609605135/ref=sr_1_1?ie=UTF8&qid=1412759104&sr=8-1&keywords=Alas+Poor+Darwin,"Alas, Poor Darwin: Arguments Against Evolutionary Psychology",Steven Rose(Editor),2000,,3.9,25,,"[alas, poor, darwin, arguments, evolutionary, psychology]"
